Date,Open,High,Low,Close,Adj Close,Volume
2016-10-24,205.0500030517578,205.0500030517578,202.0,202.0,199.42568969726562,106
2016-10-25,201.0,209.9499969482422,201.0,207.10000610351562,204.46070861816406,863
2016-10-26,206.0,212.89999389648438,206.0,210.1999969482422,207.5211944580078,184
2016-10-27,200.0,210.9499969482422,200.0,208.0500030517578,205.3986053466797,283
2016-10-28,215.0,220.0,215.0,219.4499969482422,216.65330505371094,36450
2016-11-01,221.0,221.0,211.10000610351562,215.5500030517578,212.80300903320312,357
2016-11-02,223.9499969482422,223.9499969482422,210.25,220.35000610351562,217.54183959960938,457
2016-11-03,223.89999389648438,223.89999389648438,210.0,211.10000610351562,208.4097442626953,408
2016-11-04,210.10000610351562,216.89999389648438,210.0,210.0,207.32373046875,1408
2016-11-07,210.0,210.0,210.0,210.0,207.32373046875,0
2016-11-08,205.25,215.0,202.0500030517578,213.75,211.02593994140625,593
2016-11-09,173.5500030517578,214.0,173.5500030517578,206.0,203.37472534179688,228
2016-11-10,201.0,201.0,198.0500030517578,198.10000610351562,195.57540893554688,48
2016-11-11,195.0,203.0,195.0,195.0,192.51490783691406,506
2016-11-15,200.0,204.0,170.0,180.10000610351562,177.80479431152344,613
2016-11-16,196.3000030517578,196.3000030517578,172.0,172.0,169.80801391601562,873
2016-11-17,175.0,198.0,175.0,190.14999389648438,187.72669982910156,482
2016-11-18,185.0,211.10000610351562,182.64999389648438,193.64999389648438,191.18209838867188,952
2016-11-21,187.0,192.0500030517578,180.5,190.0,187.57864379882812,626
2016-11-22,192.0,192.0,192.0,192.0,189.5531463623047,10
2016-11-23,190.10000610351562,193.0,190.0,193.0,190.54039001464844,340
2016-11-24,190.0500030517578,200.0,190.0500030517578,200.0,197.451171875,186
2016-11-25,213.0,213.0,193.39999389648438,199.89999389648438,197.35244750976562,257
2016-11-28,198.0,204.89999389648438,194.10000610351562,200.0,197.451171875,165
2016-11-29,203.9499969482422,203.9499969482422,192.5,200.0,197.451171875,149
2016-11-30,200.0,200.0,200.0,200.0,197.451171875,4339
2016-12-01,208.0,210.0,200.10000610351562,210.0,207.32373046875,1467
2016-12-02,210.0,210.0,210.0,210.0,207.32373046875,622
2016-12-05,215.89999389648438,215.89999389648438,205.10000610351562,215.0,212.26002502441406,226
2016-12-06,211.0,211.0,211.0,211.0,208.31100463867188,100
2016-12-07,211.0,219.5,210.0,210.0,207.32373046875,575
2016-12-08,214.10000610351562,214.10000610351562,214.0,214.0,211.27276611328125,183
2016-12-09,210.64999389648438,210.64999389648438,210.25,210.3000030517578,207.6199188232422,39
2016-12-12,210.0,219.5,210.0,210.0,207.32373046875,550
2016-12-13,208.0500030517578,218.0,208.0500030517578,217.5,214.72816467285156,646
2016-12-14,218.89999389648438,218.89999389648438,210.0,210.10000610351562,207.4224853515625,186
2016-12-15,210.0,215.0,210.0,210.0,207.32373046875,157
2016-12-16,210.10000610351562,210.10000610351562,210.0500030517578,210.10000610351562,207.4224853515625,26
2016-12-19,219.5,219.85000610351562,210.1999969482422,210.1999969482422,207.5211944580078,2460
2016-12-20,210.0,210.0500030517578,210.0,210.0,207.32373046875,203
2016-12-21,210.0,210.0,210.0,210.0,207.32373046875,125
2016-12-22,205.39999389648438,210.0,205.39999389648438,210.0,207.32373046875,303
2016-12-23,210.0,210.0,210.0,210.0,207.32373046875,90
2016-12-26,207.5500030517578,210.0500030517578,207.5500030517578,210.0,207.32373046875,484
2016-12-27,210.0,214.89999389648438,208.0,210.0500030517578,207.37310791015625,1273
2016-12-28,210.0,210.0,210.0,210.0,207.32373046875,200
2016-12-29,210.0,210.0,210.0,210.0,207.32373046875,18
2016-12-30,210.10000610351562,218.5,210.0,213.25,210.53231811523438,706
2017-01-02,210.10000610351562,210.10000610351562,210.0,210.0,207.32373046875,19
2017-01-03,210.0,210.0,210.0,210.0,207.32373046875,180
2017-01-04,212.0,220.85000610351562,212.0,218.4499969482422,215.6660614013672,1260
2017-01-05,212.0,218.0,210.0,218.0,215.22178649902344,564
2017-01-06,211.25,215.89999389648438,211.25,215.0,212.26002502441406,344
2017-01-09,215.0500030517578,219.0,215.0500030517578,218.9499969482422,216.15968322753906,206
